time,temperature,density,fusion_power,E_field,control_signal
1.06,1.3036228295987118,1.1025004924757305e+19,2.4425655684571322e-05,0.0,22.146671832797182
1.07,1.2984187533715492,1.103456373338287e+19,2.4419141551730262e-05,0.0,22.209499446468442
1.08,1.2932354518721403,1.1044122159663733e+19,2.4412590827013435e-05,0.0,22.272275852169223
1.09,1.2880728421675502,1.1053680203615193e+19,2.4406003608633666e-05,0.0,22.335001254322307
1.1,1.2829308416559135,1.106323786525254e+19,2.4399379994714248e-05,0.0,22.397675856534413
1.11,1.2778093680651126,1.107279514459107e+19,2.4392720083288667e-05,0.0,22.4602998615994
1.12,1.2727083394514604,1.108235204164607e+19,2.4386023972300158e-05,0.0,22.522873471501654
1.1300000000000001,1.2676276741983905,1.1091908556432835e+19,2.4379291759601408e-05,0.0,22.5853968874192
1.1400000000000001,1.2625672910151504,1.1101464688966652e+19,2.4372523542954144e-05,0.0,22.64787030972695
1.1500000000000001,1.2575271089355013,1.1111020439262814e+19,2.436571942002882e-05,0.0,22.710293937999936
1.16,1.2525070473164224,1.1120575807336608e+19,2.4358879488404226e-05,0.0,22.77266797101646
1.17,1.2475070258368206,1.1130130793203323e+19,2.435200384556715e-05,0.0,22.834992606761332
1.18,1.2425269644962456,1.1139685396878248e+19,2.4345092588912074e-05,0.0,22.897268042428976
1.19,1.2375667836136097,1.114923961837667e+19,2.4338145815740724e-05,0.0,22.959494474426624
1.2,1.232626403825913,1.1158793457713873e+19,2.4331163623261812e-05,0.0,23.021672098377465
1.21,1.2277057460869734,1.1168346914905147e+19,2.4324146108590687e-05,0.0,23.083801109123716
1.22,1.222804731666162,1.1177899989965777e+19,2.4317093368748952e-05,0.0,23.145881700729824
1.23,1.217923282147144,1.1187452682911046e+19,2.4310005500664153e-05,0.0,23.20791406648552
1.24,1.2130613194266224,1.1197004993756238e+19,2.430288260116945e-05,0.0,23.269898398908886
1.25,1.2082187657130903,1.120655692251664e+19,2.4295724767003283e-05,0.0,23.33183488974953
1.26,1.203395543525585,1.1216108469207532e+19,2.428853209480903e-05,0.0,23.393723729991528
1.27,1.1985915756924483,1.1225659633844197e+19,2.4281304681134665e-05,0.0,23.4555651098566
1.28,1.1938067853500927,1.1235210416441917e+19,2.4274042622432485e-05,0.0,23.51735921880707
1.29,1.1890410959417703,1.1244760817015974e+19,2.4266746015058736e-05,0.0,23.579106245548928
1.3,1.1842944312163493,1.1254310835581649e+19,2.4259414955273324e-05,0.0,23.64080637803486
1.31,1.1795667152270926,1.126386047215422e+19,2.4252049539239492e-05,0.0,23.702459803467228
1.32,1.1748578723304435,1.1273409726748969e+19,2.4244649863023458e-05,0.0,23.76406670830109
1.33,1.1701678271848153,1.1282958599381172e+19,2.4237216022594176e-05,0.0,23.825627278247183
1.34,1.1654965047493855,1.129250709006611e+19,2.422974811382298e-05,0.0,23.887141698274846
1.35,1.1608438302828956,1.130205519881906e+19,2.4222246232483292e-05,0.0,23.948610152615068
1.36,1.156209729342455,1.1311602925655298e+19,2.421471047425029e-05,0.0,24.010032824763357
1.37,1.1515941277823494,1.13211502705901e+19,2.4207140934700617e-05,0.0,24.07140989748271
1.3800000000000001,1.1469969517528555,1.1330697233638742e+19,2.4199537709312114e-05,0.0,24.13274155280653
1.3900000000000001,1.142418127699059,1.13402438148165e+19,2.419190089346346e-05,0.0,24.194027972041553
1.4000000000000001,1.1378575823596773,1.1349790014138649e+19,2.4184230582433922e-05,0.0,24.255269335770713
1.41,1.1333152427658875,1.135933583162046e+19,2.4176526871403023e-05,0.0,24.31646582385609
1.42,1.1287910362401592,1.136888126727721e+19,2.4168789855450284e-05,0.0,24.37761761544171
1.43,1.1242848903950915,1.137842632112417e+19,2.4161019629554907e-05,0.0,24.438724888956493
1.44,1.119796733132255,1.138797099317661e+19,2.4153216288595504e-05,0.0,24.499787822117035
